City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
1,Ambon,ID,82.54,-3.6954,128.1814,
5,Atuona,PF,77.43,-9.8,-139.0333,
7,Champerico,GT,81.36,14.3,-91.9167,
9,Butaritari,KI,82.06,3.0707,172.7902,
11,Tual,ID,82.13,-5.6667,132.75,
12,Qui Nhon,VN,78.62,13.7667,109.2333,
16,Labuhan,ID,79.83,-6.8844,112.2051,
17,Acu,BR,77.09,-5.5767,-36.9086,
20,Bubaque,GW,77.92,11.2833,-15.8333,
21,Saint-Philippe,RE,80.19,-21.3585,55.7679,
25,Rikitea,PF,77.95,-23.1203,-134.9692,
33,Busselton,AU,88.05,-33.65,115.3333,
35,Bathsheba,BB,77.61,13.2167,-59.5167,
36,Manokwari,ID,80.11,-0.8667,134.0833,
37,Puerto Escondido,MX,78.58,15.85,-97.0667,
41,Alyangula,AU,86.34,-13.8483,136.4192,
45,Pundaguitan,PH,81.5,6.3711,126.1689,
50,Fomboni,KM,82.62,-12.28,43.7425,
51,Te Anau,NZ,72.37,-45.4167,167.7167,
52,Vanimo,PG,80.46,-2.6741,141.3028,
53,Porong,ID,85.82,-7.5452,112.6955,
55,Srandakan,ID,72.73,-7.9386,110.2506,
58,Vila Velha,BR,75.15,-20.3297,-40.2925,
59,Jutai,BR,72.3,-5.1833,-68.9,
67,Grand Gaube,MU,82.38,-20.0064,57.6608,
72,Dicabisagan,PH,76.69,17.0818,122.4157,
76,Touros,BR,77.9,-5.1989,-35.4608,
77,Vaini,TO,81.75,-21.2,-175.2,
78,Samarai,PG,82.26,-10.6167,150.6667,
79,Hilo,US,73.13,19.7297,-155.09,
81,Mataura,NZ,78.93,-46.1927,168.8643,
83,Ambilobe,MG,75.36,-13.2,49.05,
84,Cayenne,GF,79.09,4.9333,-52.3333,
85,Hobart,AU,76.26,-42.8794,147.3294,
87,Tres Lagoas,BR,72.16,-20.7511,-51.6783,
90,Avarua,CK,77.05,-21.2078,-159.775,
92,Proddatur,IN,78.21,14.7333,78.55,
93,Tura,IN,72.46,25.5198,90.2201,
104,New Norfolk,AU,75.92,-42.7826,147.0587,
105,Kapaa,US,78.78,22.0752,-159.319,
110,Leeton,AU,87.89,-34.5667,146.4,
113,Namatanai,PG,83.84,-3.6667,152.4333,
116,Mahebourg,MU,82.26,-20.4081,57.7,
121,Imbituba,BR,73.29,-28.24,-48.6703,
123,Cabedelo,BR,77.67,-6.9811,-34.8339,
132,Cockburn Town,TC,77.41,21.4612,-71.1419,
135,Omboue,GA,78.53,-1.5746,9.2618,
136,Cartagena,CO,78.42,10.3997,-75.5144,
138,Takoradi,GH,78.85,4.8845,-1.7554,
144,Arraial Do Cabo,BR,74.01,-22.9661,-42.0278,
147,Puerto Ayora,EC,75.7,-0.7393,-90.3518,
148,Beloha,MG,73.51,-25.1667,45.05,
150,Gidam,IN,79.52,18.9833,81.4,
152,Inhambane,MZ,78.84,-23.865,35.3833,
154,Porbandar,IN,73.85,21.6422,69.6093,
158,Kavieng,PG,82.56,-2.5744,150.7967,
163,Cooma,AU,80.38,-36.2333,149.1333,
175,Sapa,PH,83.32,5.1544,120.3241,
178,Jaisalmer,IN,73.76,26.9147,70.9181,
185,Mont-Dore,NC,84.99,-22.2833,166.5833,
187,Makakilo City,US,73.62,21.3469,-158.0858,
192,Cidreira,BR,72.37,-30.1811,-50.2056,
195,Guarapari,BR,75.09,-20.6667,-40.4975,
200,Sarangani,PH,82.09,5.4033,125.4636,
204,Kahului,US,75.97,20.8947,-156.47,
206,Quang Ngai,VN,81.32,15.1167,108.8,
209,Saint-Georges,GD,74.88,12.0564,-61.7485,
210,Bonthe,SL,77.56,7.5264,-12.505,
213,Mattru,SL,74.01,7.6244,-11.8332,
215,Davila,PH,81.43,18.4726,120.5763,
216,Faanui,PF,81.32,-16.4833,-151.75,
217,Manthani,IN,78.39,18.65,79.6667,
229,Monrovia,LR,76.77,6.3005,-10.7969,
230,Broken Hill,AU,81.39,-31.95,141.4333,
231,Alofi,NU,80.92,-19.0595,-169.9187,
234,Kuala Terengganu,MY,83.41,5.3302,103.1408,
236,Barao De Melgaco,BR,79.32,-16.1944,-55.9675,
237,Amahai,ID,83.93,-3.3333,128.9167,
241,Bengkulu,ID,82.24,-3.8004,102.2655,
243,Chanthaburi,TH,78.49,12.8333,102.1667,
245,Catamarca,AR,77.65,-28.4696,-65.7852,
247,Villa Carlos Paz,AR,73.38,-31.4241,-64.4978,
252,Balabac,PH,83.5,7.9868,117.0645,
254,Georgetown,MY,84.88,5.4112,100.3354,
256,Bandarbeyla,SO,73.62,9.4942,50.8122,
261,Catumbela,AO,76.46,-12.4314,13.5472,
263,Diapaga,BF,77.77,12.0708,1.7889,
269,Sola,VU,82.6,-13.8833,167.55,
272,Trairi,BR,76.77,-3.2778,-39.2689,
276,Hithadhoo,MV,82.54,-0.6,73.0833,
277,Sao Filipe,CV,73.29,14.8961,-24.4956,
280,Am Timan,TD,72.52,11.0297,20.2827,
284,Bouna,CI,73.6,9.2667,-3.0,
288,Maningrida,AU,89.1,-12.0667,134.2667,
292,Sao Sebastiao,BR,72.12,-23.76,-45.4097,
298,Banjar,ID,87.66,-8.19,114.9675,
302,Mitu,CO,72.95,1.1983,-70.1733,
306,West Bay,KY,78.01,19.3667,-81.4167,
307,Pomerode,BR,72.54,-26.7406,-49.1769,
311,Pala,TD,73.9,9.3642,14.9046,
316,Sao Paulo De Olivenca,BR,73.54,-3.3783,-68.8725,
318,Fayaoue,NC,82.15,-20.65,166.5333,
324,Honiara,SB,84.18,-9.4333,159.95,
327,Bambous Virieux,MU,82.22,-20.3428,57.7575,
332,Bintulu,MY,84.07,3.1667,113.0333,
333,Isangel,VU,83.32,-19.55,169.2667,
334,Presidencia Roque Saenz Pena,AR,81.46,-26.7852,-60.4388,
339,Simpang,ID,79.14,-1.2667,104.0833,
340,Porto Novo,BJ,78.1,6.4965,2.6036,
348,Basco,PH,74.55,20.4487,121.9702,
350,Hervey Bay,AU,85.03,-25.2986,152.8535,
354,Soure,BR,77.77,-0.7167,-48.5233,
356,Conakry,GN,74.35,9.538,-13.6773,
360,Keti Bandar,PK,75.15,24.1447,67.4497,
362,Auki,SB,83.1,-8.7676,160.7034,
363,Marsh Harbour,BS,72.41,26.5412,-77.0636,
365,Airai,TL,76.26,-8.9266,125.4092,
373,Itarema,BR,77.23,-2.9248,-39.9167,
374,Edd,ER,76.15,13.9297,41.6925,
376,Linhares,BR,72.34,-19.3911,-40.0722,
377,Kupang,ID,85.46,-10.1667,123.5833,
385,Puerto Suarez,BO,79.88,-18.95,-57.8,
387,Tecoanapa,MX,78.31,16.5167,-98.75,
388,Sorong,ID,83.48,-0.8833,131.25,
392,Bogande,BF,74.19,12.9714,-0.1436,
393,Nikki,BJ,76.1,9.9401,3.2108,
394,Carutapera,BR,75.74,-1.195,-46.02,
396,Banes,CU,74.01,20.9625,-75.7186,
397,Atambua,ID,84.2,-9.1061,124.8925,
401,Kawhia,NZ,79.38,-38.0651,174.8183,
402,Bairiki,KI,86.0,1.3292,172.9752,
403,Kirakira,SB,82.51,-10.4544,161.9205,
405,Richards Bay,ZA,73.11,-28.783,32.0377,
408,Merauke,ID,81.54,-8.4667,140.3333,
410,Kieta,PG,83.82,-6.2167,155.6333,
413,Mazagao,BR,77.05,-0.115,-51.2894,
419,Santa Cruz,BO,76.46,-17.8,-63.1667,
424,Bosaso,SO,72.09,11.2842,49.1816,
429,Axim,GH,78.67,4.8699,-2.2405,
430,Porto Walter,BR,72.03,-8.2686,-72.7439,
431,Manggar,ID,85.33,-2.8833,108.2667,
432,Tsaratanana,MG,74.05,-16.7833,47.65,
434,Tuatapere,NZ,72.18,-46.1333,167.6833,
435,Maldonado,UY,75.22,-34.6667,-54.9167,
436,Vao,NC,79.56,-22.6667,167.4833,
445,Magdiwang,PH,81.14,12.491,122.5135,
447,Lorengau,PG,85.03,-2.0226,147.2712,
451,Kuching,MY,86.22,1.55,110.3333,
452,Oistins,BB,77.09,13.0667,-59.5333,
453,Tutoia,BR,78.75,-2.7619,-42.2744,
456,Bac Lieu,VN,85.87,9.285,105.7244,
461,Caravelas,BR,74.62,-17.7125,-39.2481,
462,Poum,NC,82.76,-20.2333,164.0167,
464,Souillac,MU,82.36,-20.5167,57.5167,
465,Santa Fe,AR,76.98,-31.6333,-60.7,
476,Bani,DO,74.75,18.2833,-70.3333,
485,Rantepao,ID,75.65,-2.9701,119.8978,
498,Minbu,MM,80.92,20.1833,94.8833,
499,Maceio,BR,76.44,-9.6658,-35.7353,
500,Jiwani,PK,72.05,25.05,61.7417,
508,Wanning,CN,74.21,18.8003,110.3967,
509,Santarem,BR,75.33,-2.4431,-54.7083,
511,Namibe,AO,73.38,-15.1961,12.1522,
513,Panguna,PG,77.68,-6.3164,155.4848,
518,Sri Aman,MY,86.0,1.2376,111.4621,
522,Loandjili,CG,78.04,-4.7561,11.8578,
529,Pangkalanbuun,ID,86.81,-2.6833,111.6167,
531,Port Macquarie,AU,83.89,-31.4333,152.9167,
539,Pemangkat,ID,84.87,1.1667,108.9667,
540,Lafiagi,NG,79.05,8.8667,5.4167,
544,Wajid,SO,72.28,3.8093,43.2471,
545,Maragogi,BR,78.44,-9.0122,-35.2225,
548,Ibimirim,BR,75.34,-8.5406,-37.6903,
551,Tonj,SS,72.03,7.2737,28.6822,
552,Hambantota,LK,80.94,6.1241,81.1185,
555,Sao Francisco Do Sul,BR,73.11,-26.2433,-48.6381,
562,Buala,SB,84.33,-8.145,159.5921,
565,Port Moresby,PG,84.54,-9.4431,147.1797,
568,Ternate,ID,81.9,0.8,127.4,
569,Martapura,ID,78.89,-3.4167,114.85,
570,Maumere,ID,85.03,-8.6199,122.2111,
579,Camana,PE,72.01,-16.6228,-72.7111,
587,Kalmunai,LK,78.55,7.4167,81.8167,
601,Mumford,GH,79.38,5.2618,-0.759,
602,Vaitape,PF,81.32,-16.5167,-151.75,
