City_ID,City,Lat,Lng,Description,Max Temp,Humidity,Cloudiness,Wind Speed,Country
0,Bitlis,38.5,42.25,overcast clouds,19.24,94,94,5.99,TR
1,Ambon,-3.6954,128.1814,scattered clouds,82.54,78,40,4.61,ID
2,Ushuaia,-54.8,-68.3,broken clouds,49.66,66,75,11.5,AR
3,Chokurdakh,70.6333,147.9167,few clouds,-29.24,100,15,1.79,RU
4,Torbay,47.6666,-52.7314,scattered clouds,14.76,80,27,4.0,CA
5,Atuona,-9.8,-139.0333,light rain,77.43,78,21,15.01,PF
6,Sabzevar,36.2126,57.6819,clear sky,35.53,52,7,7.76,IR
7,Champerico,14.3,-91.9167,clear sky,81.36,69,5,5.66,GT
8,Paamiut,61.994,-49.6678,broken clouds,-6.07,91,67,12.24,GL
9,Butaritari,3.0707,172.7902,clear sky,82.06,74,2,23.15,KI
10,Bluff,-46.6,168.3333,broken clouds,63.66,64,63,10.89,NZ
11,Tual,-5.6667,132.75,broken clouds,82.13,71,65,3.96,ID
12,Qui Nhon,13.7667,109.2333,broken clouds,78.62,78,67,3.89,VN
13,Ribeira Grande,38.5167,-28.7,overcast clouds,62.8,78,100,23.02,PT
14,Margate,51.3813,1.3862,few clouds,51.31,64,17,7.0,GB
15,Easton,40.6884,-75.2207,overcast clouds,44.91,74,100,4.76,US
16,Labuhan,-6.8844,112.2051,moderate rain,79.83,86,100,5.68,ID
17,Acu,-5.5767,-36.9086,overcast clouds,77.09,78,99,5.73,BR
18,Cape Town,-33.9258,18.4232,clear sky,63.27,71,0,4.0,ZA
19,Albany,42.6001,-73.9662,overcast clouds,44.8,73,100,11.65,US
20,Bubaque,11.2833,-15.8333,clear sky,77.92,65,9,4.92,GW
21,Saint-Philippe,-21.3585,55.7679,broken clouds,80.19,74,67,10.78,RE
22,Berlevag,70.8578,29.0864,overcast clouds,25.52,73,99,11.7,NO
23,Port Elizabeth,-33.918,25.5701,scattered clouds,60.1,81,38,8.75,ZA
24,Geraldton,-28.7667,114.6,clear sky,104.41,10,0,23.02,AU
25,Rikitea,-23.1203,-134.9692,light rain,77.95,73,28,13.33,PF
26,Victoria,22.2855,114.1577,light rain,62.96,90,100,18.99,HK
27,Suicheng,33.8963,117.9331,overcast clouds,36.59,40,100,14.09,CN
28,Castro,-24.7911,-50.0119,broken clouds,57.51,89,63,1.9,BR
29,Cherskiy,68.75,161.3,overcast clouds,-30.21,99,100,0.87,RU
30,Lavrentiya,65.5833,-171.0,clear sky,-15.09,94,9,8.93,RU
31,Tuktoyaktuk,69.4541,-133.0374,broken clouds,-20.49,98,81,14.47,CA
32,Carnarvon,-24.8667,113.6333,broken clouds,111.27,12,72,13.8,AU
33,Busselton,-33.65,115.3333,clear sky,88.05,30,0,6.67,AU
34,Safranbolu,41.2508,32.6942,broken clouds,28.74,85,68,2.51,TR
35,Bathsheba,13.2167,-59.5167,scattered clouds,77.61,73,40,24.16,BB
36,Manokwari,-0.8667,134.0833,moderate rain,80.11,83,100,7.63,ID
37,Puerto Escondido,15.85,-97.0667,clear sky,78.58,73,5,5.14,MX
38,Iqaluit,63.7506,-68.5145,overcast clouds,-20.31,75,100,1.77,CA
39,Punta Arenas,-53.15,-70.9167,broken clouds,53.11,58,73,27.18,CL
40,Rosarito,32.3333,-117.0333,clear sky,57.09,74,4,1.25,MX
41,Alyangula,-13.8483,136.4192,overcast clouds,86.34,66,100,8.1,AU
42,Waipawa,-41.4122,175.5153,clear sky,64.29,62,0,5.73,NZ
43,Laramie,41.3114,-105.5911,overcast clouds,16.18,78,100,9.22,US
44,Provideniya,64.3833,-173.3,clear sky,8.71,61,0,24.61,RU
45,Pundaguitan,6.3711,126.1689,heavy intensity rain,81.5,71,95,11.48,PH
46,Thompson,55.7435,-97.8558,scattered clouds,-18.89,92,26,7.63,CA
47,La Rioja,42.25,-2.5,broken clouds,44.38,88,72,6.2,ES
48,Dandong,40.1292,124.3947,clear sky,21.43,44,1,14.09,CN
49,Swellendam,-34.0226,20.4417,clear sky,57.52,75,0,5.53,ZA
50,Fomboni,-12.28,43.7425,few clouds,82.62,73,18,5.68,KM
51,Te Anau,-45.4167,167.7167,moderate rain,72.37,45,81,7.54,NZ
52,Vanimo,-2.6741,141.3028,light rain,80.46,86,100,5.26,PG
53,Porong,-7.5452,112.6955,light rain,85.82,65,82,5.46,ID
54,Jamestown,42.097,-79.2353,overcast clouds,50.02,33,97,8.01,US
55,Srandakan,-7.9386,110.2506,scattered clouds,72.73,66,38,3.2,ID
56,Tiksi,71.6872,128.8694,overcast clouds,-23.93,100,98,0.83,RU
57,Trofors,65.5333,13.4063,overcast clouds,31.35,92,100,5.82,NO
58,Vila Velha,-20.3297,-40.2925,broken clouds,75.15,91,75,3.44,BR
59,Jutai,-5.1833,-68.9,light rain,72.3,93,100,0.67,BR
60,Hermanus,-34.4187,19.2345,clear sky,58.89,73,0,11.88,ZA
61,Kemijarvi,66.7131,27.4306,light snow,16.68,93,100,11.86,FI
62,Nexo,55.0607,15.1306,overcast clouds,42.89,78,100,45.3,DK
63,Hamilton,39.1834,-84.5333,overcast clouds,61.43,60,100,4.0,US
64,Guadalupe Victoria,32.2869,-115.105,clear sky,61.95,47,0,7.72,MX
65,Borgarnes,64.5383,-21.9206,snow,32.56,95,100,4.59,IS
66,Ostersund,63.1792,14.6357,overcast clouds,18.05,93,100,5.75,SE
67,Grand Gaube,-20.0064,57.6608,overcast clouds,82.38,73,92,5.99,MU
68,Lompoc,34.6391,-120.4579,mist,55.08,87,75,11.99,US
69,San Carlos De Bariloche,-41.1456,-71.3082,clear sky,51.48,60,0,4.34,AR
70,Longyearbyen,78.2186,15.6401,clear sky,-3.08,83,2,4.85,SJ
71,Guerrero Negro,27.9769,-114.0611,clear sky,58.35,67,0,15.93,MX
72,Dicabisagan,17.0818,122.4157,overcast clouds,76.69,78,95,6.46,PH
73,Plettenberg Bay,-34.0527,23.3716,few clouds,59.94,79,14,4.76,ZA
74,Xichang,27.8964,102.2634,clear sky,54.84,42,2,2.62,CN
75,Hualmay,-11.0964,-77.6139,overcast clouds,70.92,81,99,7.78,PE
76,Touros,-5.1989,-35.4608,overcast clouds,77.9,73,92,4.18,BR
77,Vaini,-21.2,-175.2,light rain,81.75,75,15,11.59,TO
78,Samarai,-10.6167,150.6667,light rain,82.26,77,95,5.57,PG
79,Hilo,19.7297,-155.09,overcast clouds,73.13,86,100,6.91,US
80,Nikolskoye,59.7035,30.7861,light snow,35.87,97,100,16.35,RU
81,Mataura,-46.1927,168.8643,scattered clouds,78.93,30,39,5.08,NZ
82,Dikson,73.5069,80.5464,overcast clouds,-28.41,99,85,5.08,RU
83,Ambilobe,-13.2,49.05,overcast clouds,75.36,91,90,2.08,MG
84,Cayenne,4.9333,-52.3333,broken clouds,79.09,84,75,3.0,GF
85,Hobart,-42.8794,147.3294,clear sky,76.26,28,0,13.8,AU
86,Tasiilaq,65.6145,-37.6368,overcast clouds,24.96,81,100,16.75,GL
87,Tres Lagoas,-20.7511,-51.6783,light rain,72.16,92,95,5.73,BR
88,Barrow,71.2906,-156.7887,broken clouds,-18.38,76,75,9.22,US
89,Forestville,38.8451,-76.875,broken clouds,49.86,65,75,10.36,US
90,Avarua,-21.2078,-159.775,light rain,77.05,94,75,11.5,CK
91,Bruhl,50.8293,6.905,broken clouds,53.82,64,75,36.82,DE
92,Proddatur,14.7333,78.55,overcast clouds,78.21,49,98,7.4,IN
93,Tura,25.5198,90.2201,clear sky,72.46,33,0,2.82,IN
94,Northam,51.0333,-4.2167,broken clouds,50.31,81,58,28.03,GB
